1,client_id,client_label
2,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]"
3,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]"
4,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]"
5,3,"[155, 0, 0, 0, 1, 0, 0, 2381, 4, 0]"
6,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]"
7,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]"
8,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]"
9,7,"[0, 21, 5, 11, 0, 787, 0, 4, 441, 0]"
10,8,"[1, 3599, 0, 0, 0, 0, 0, 0, 0, 0]"
11,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]"
12,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]"
13,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]"
14,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]"
15,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]"
16,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]"
17,15,"[31, 0, 0, 1785, 0, 16, 4, 756, 2856, 0]"
18,16,"[3628, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,17,"[0, 26, 1463, 1379, 335, 60, 0, 17, 2373, 0]"
20,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]"
21,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]"
1,client_id,client_label
2,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]"
3,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]"
4,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]"
5,3,"[155, 0, 0, 0, 1, 0, 0, 2381, 4, 0]"
6,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]"
7,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]"
8,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]"
9,7,"[0, 21, 5, 11, 0, 787, 0, 4, 441, 0]"
10,8,"[1, 3599, 0, 0, 0, 0, 0, 0, 0, 0]"
11,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]"
12,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]"
13,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]"
14,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]"
15,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]"
16,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]"
17,15,"[31, 0, 0, 1785, 0, 16, 4, 756, 2856, 0]"
18,16,"[3628, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,17,"[0, 26, 1463, 1379, 335, 60, 0, 17, 2373, 0]"
20,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]"
21,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]"
1,client_id,client_label
2,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]"
3,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]"
4,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]"
5,3,"[155, 0, 0, 0, 1, 0, 0, 2381, 4, 0]"
6,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]"
7,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]"
8,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]"
9,7,"[0, 21, 5, 11, 0, 787, 0, 4, 441, 0]"
10,8,"[1, 3599, 0, 0, 0, 0, 0, 0, 0, 0]"
11,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]"
12,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]"
13,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]"
14,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]"
15,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]"
16,14,"[0, 0, 0, 0, 0, 2719, 0, 3011, 0, 0]"
17,15,"[31, 0, 0, 1785, 0, 16, 4, 756, 2856, 0]"
18,16,"[3628, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
19,17,"[0, 26, 1463, 1379, 335, 60, 0, 17, 2373, 0]"
20,18,"[998, 0, 0, 0, 0, 8, 4260, 0, 0, 0]"
21,19,"[310, 1, 1, 1, 5789, 0, 0, 0, 0, 1]"
1,client_id,client_label
2,0,"[6903, 7877, 6990, 7141, 6824, 6313, 6876, 7293, 6825, 6958]"
3,1,"[5, 0, 27, 0, 0, 19, 335, 0, 6, 107]"
4,2,"[3, 0, 0, 143, 0, 0, 1461, 0, 0, 23]"
5,3,"[155, 0, 0, 0, 1, 0, 0, 2381, 4, 0]"
6,4,"[71, 13, 0, 207, 0, 1129, 6, 0, 40, 451]"
7,5,"[0, 38, 0, 1, 39, 0, 0, 0, 25, 6086]"
8,6,"[0, 873, 176, 46, 0, 0, 42, 0, 13, 106]"
9,7,"[0, 21, 5, 11, 0, 787, 0, 4, 441, 0]"
10,8,"[1, 3599, 0, 0, 0, 0, 0, 0, 0, 0]"
11,9,"[633, 1997, 89, 0, 519, 0, 768, 0, 0, 0]"
12,10,"[920, 2, 1450, 513, 134, 97, 0, 0, 0, 0]"
13,11,"[0, 0, 159, 3055, 0, 558, 0, 0, 0, 0]"
14,12,"[8, 180, 3277, 0, 0, 148, 0, 0, 0, 0]"
15,13,"[0, 237, 343, 0, 6, 453, 0, 1095, 0, 0]"
