1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,ALAJS,0,2.3126724922475015,0.060829335161069226,0.4336906327316577,0.06708057149762552,0.18417894575936128
3,mnist,ALAJS,1,1.2973185708533035,0.6057230980123373,0.8486293446998098,0.3566784513703857,0.1797248734063557
4,mnist,ALAJS,2,0.7543377451819033,0.8331048663468129,0.9636896575418562,0.18145525336416143,0.059554165494974005
5,mnist,ALAJS,3,0.4115728363955486,0.9062714187799863,0.9869831110601389,0.1692082571565746,0.029933685641521886
6,mnist,ALAJS,4,0.28281923588244234,0.9357436600411241,0.9937105131450119,0.09083454119994606,0.011380080885749738
7,mnist,ALAJS,5,0.1928770355118215,0.9561343385880741,0.995773334762762,0.056221981083251445,0.006474169942755015
8,mnist,ALAJS,6,0.15523081719011872,0.9618460132510852,0.9963221764445804,0.039129128423128566,0.006326879024335638
9,mnist,ALAJS,7,0.12703070132072558,0.9668722869545351,0.9966479511326879,0.048018661792571846,0.011302469967109345
10,mnist,ALAJS,8,0.10957229364382523,0.9708133424720128,0.9974185299010413,0.02570109669073182,0.0037332872100207764
11,mnist,ALAJS,9,0.09702942859348981,0.9737834132967786,0.9977061538890513,0.02256578304818016,0.0034675666694533435
12,mnist,ALAJS,10,0.09292184725361181,0.9748686314827507,0.997764752369743,0.022224521798112993,0.00297719133041121
13,mnist,ALAJS,11,0.0841273935327363,0.9768677176148046,0.9979881096258091,0.02002550533097694,0.0030552082453355715
14,mnist,ALAJS,12,0.07845315517875698,0.9786954535069683,0.9980672164927641,0.01853741420659827,0.00344083533949863
15,mnist,ALAJS,13,0.07132977361532401,0.9797806716929404,0.9981683859755767,0.018111208844988652,0.003647860505117255
16,mnist,ALAJS,14,0.0693369929687057,0.9794950879597898,0.9981966752938806,0.030022295914288403,0.004179661185484539
17,mnist,ALAJS,15,0.061816195854985614,0.9820082248115147,0.9983776979836817,0.014592942437636303,0.002361758018637996
18,mnist,ALAJS,16,0.060267145582122414,0.9825222755311858,0.9983901722890894,0.014072131781993423,0.002114010711240912
19,mnist,ALAJS,17,0.05696157575645928,0.9835503769705277,0.9984623164271473,0.013790017829513595,0.0018334905758238635
