1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,APPLE,0,4.615562544410243,0.00826226012793177,0.49925935941762684,0.006105447987905244,0.047671385134914035
3,Cifar100,APPLE,1,4.286803107629826,0.11986940298507463,0.7448550316688123,0.052053367140602,0.03825793048231281
4,Cifar100,APPLE,2,3.958877204067235,0.16477878464818763,0.8020870270882703,0.04695911607039013,0.033543638237567903
5,Cifar100,APPLE,3,3.668114545113717,0.20375799573560768,0.8358111113159882,0.049213510104995035,0.026449696336329234
6,Cifar100,APPLE,4,3.468187801864643,0.2314765458422175,0.8575727112935969,0.052278946867661366,0.0223221337943228
7,Cifar100,APPLE,5,3.3312207324514183,0.2534648187633262,0.8711493133179125,0.050755809223590506,0.020091801866497967
8,Cifar100,APPLE,6,3.232896618519871,0.26792377398720685,0.880062124442939,0.050077636572050825,0.018646971442768192
9,Cifar100,APPLE,7,3.157800425500807,0.2785181236673774,0.8863237534777894,0.047800441570229224,0.01758984386216863
10,Cifar100,APPLE,8,3.097475809116547,0.2881130063965885,0.8910342950616806,0.0470035365839326,0.016784327343022463
11,Cifar100,APPLE,9,3.04701182240376,0.29464285714285715,0.894790661606148,0.046369914316484746,0.01614433105538018
12,Cifar100,APPLE,10,3.0037861566137662,0.30123933901918976,0.8978158786855966,0.04608712465015391,0.015632607132989675
13,Cifar100,APPLE,11,2.9657193589196726,0.3069696162046908,0.9003598217251727,0.04668881350061051,0.015213129411036008
14,Cifar100,APPLE,12,2.9318501708839864,0.3130330490405117,0.9025342577460418,0.04747852883759562,0.014828621137120844
15,Cifar100,APPLE,13,2.901135475609867,0.3180303837953092,0.9044304473461136,0.04574122168311071,0.014497666733851788
16,Cifar100,APPLE,14,2.8731462103184633,0.32062899786780386,0.906102012296619,0.046831975241274935,0.014203457435644658
17,Cifar100,APPLE,15,2.8474363124422535,0.3246268656716418,0.9075990758384196,0.0474845101144308,0.013946535060324101
18,Cifar100,APPLE,16,2.8237543355403814,0.3271588486140725,0.9089254861318414,0.047393155821843634,0.013714310178080506
19,Cifar100,APPLE,17,2.8018124711018317,0.3289578891257996,0.9101364555202341,0.047119629112265034,0.013504630058651088
20,Cifar100,APPLE,18,2.781163980354938,0.3314898720682303,0.9112652412199609,0.046156023859103126,0.013324516720553722
21,Cifar100,APPLE,19,2.7618543574541112,0.3345549040511727,0.9122760739830126,0.04471399966619353,0.013168298552129212
22,Cifar100,APPLE,20,2.7434570102507885,0.3366871002132196,0.9132278416795235,0.04373823951219715,0.0130209062405836
23,Cifar100,APPLE,21,2.725615375871931,0.33955223880597013,0.9141375867486531,0.04382193836472362,0.012879490599991415
24,Cifar100,APPLE,22,2.708568984485886,0.3424173773987207,0.9149855538527019,0.04424763301846057,0.012746035807633602
25,Cifar100,APPLE,23,2.6922132561539676,0.34541577825159914,0.9157903719700454,0.044675904109550864,0.012629610882173485
26,Cifar100,APPLE,24,2.6764459314599853,0.34674840085287845,0.9165361363682261,0.04445750931227917,0.012522927823846078
27,Cifar100,APPLE,25,2.6613434902081665,0.34834754797441364,0.9172396881246246,0.04565094547710607,0.01241846029525806
28,Cifar100,APPLE,26,2.646659021778604,0.3500133262260128,0.9179186885829772,0.04513268267934647,0.012327523025251865
29,Cifar100,APPLE,27,2.6325628474166525,0.35181236673773986,0.9185550254663534,0.04543860368176119,0.012246691864791057
30,Cifar100,APPLE,28,2.6190430419570907,0.35361140724946694,0.9191444982762471,0.043563057156353245,0.012166613412904743
31,Cifar100,APPLE,29,2.6059773994950697,0.355477078891258,0.9197157536367302,0.04451773415324694,0.012094487172989131
32,Cifar100,APPLE,30,2.5932197850002043,0.3567430703624733,0.9202603762078547,0.04436247901002755,0.01201882901573589
33,Cifar100,APPLE,31,2.580872501495989,0.3575426439232409,0.9207597362296194,0.04394494194713741,0.01194684417179875
34,Cifar100,APPLE,32,2.5689480013613855,0.35887526652452023,0.9212398459546229,0.04471121327772488,0.01188092428018586
35,Cifar100,APPLE,33,2.5571958160306547,0.35967484008528783,0.9217219735080882,0.0452099443100715,0.011815727910823005
36,Cifar100,APPLE,34,2.545758849834658,0.3607409381663113,0.9221753213959621,0.044506746489802164,0.011754399391285038
37,Cifar100,APPLE,35,2.5344758519544612,0.3617404051172708,0.922618382188281,0.04423259789011398,0.011707631107337406
38,Cifar100,APPLE,36,2.5234279912047977,0.36300639658848616,0.923047241033532,0.04409247161833419,0.011641411333413646
39,Cifar100,APPLE,37,2.5128559704682427,0.3649386993603412,0.9234477098555619,0.043554371613149796,0.011583424075990471
40,Cifar100,APPLE,38,2.5024890641452706,0.3665378464818763,0.9238243854246279,0.04392153824483699,0.011526903421624058
41,Cifar100,APPLE,39,2.4924720149050508,0.36727078891257997,0.9241846524725114,0.04414957822822527,0.011471967085675184
42,Cifar100,APPLE,40,2.482536612980212,0.36847014925373134,0.9245371422529786,0.04291979439481331,0.011425453209014952
43,Cifar100,APPLE,41,2.472669976783475,0.3701359275053305,0.9248888288795399,0.043309713399172875,0.01138870753647742
