1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,FedALA,0,4.615562544410243,0.00826226012793177,0.49925935941762684,0.006105447987905244,0.047671385134914035
3,Cifar100,FedALA,1,4.491050560116832,0.04377665245202559,0.6359599544516474,0.034951612001233534,0.10458247943350195
4,Cifar100,FedALA,2,4.3324654640580516,0.07182835820895522,0.6861278837191326,0.04418555962430131,0.10602974543453327
5,Cifar100,FedALA,3,4.189652412244379,0.06996268656716417,0.731568897425039,0.0383431004133745,0.08320936606742112
6,Cifar100,FedALA,4,4.108537797952457,0.08788646055437101,0.74774105437076,0.04039600529334908,0.0859099493572728
7,Cifar100,FedALA,5,4.002672888559923,0.09961353944562899,0.7703768040815069,0.04698122403155751,0.08798675920378579
8,Cifar100,FedALA,6,3.9225147250622876,0.10221215351812367,0.7921453773682232,0.05245526239519376,0.0612333460147353
9,Cifar100,FedALA,7,3.8414366975137715,0.11893656716417911,0.8056815286596353,0.05005611277429631,0.05896652475856605
10,Cifar100,FedALA,8,3.833426393333904,0.1076092750533049,0.8079878895764144,0.05299190345356348,0.06278831276982019
11,Cifar100,FedALA,9,3.7156589590152205,0.1257995735607676,0.8288206296692171,0.047723254300791135,0.05325661332968687
12,Cifar100,FedALA,10,3.661073030165306,0.1306636460554371,0.8362051002654421,0.0518934579362916,0.03779264877667324
13,Cifar100,FedALA,11,3.615393111786794,0.1537180170575693,0.838514333093137,0.04780556677848843,0.044638910836601924
14,Cifar100,FedALA,12,3.570589576862266,0.1537180170575693,0.8450940793309758,0.04624158665328373,0.038978615261324324
15,Cifar100,FedALA,13,3.5278194495270503,0.1652452025586354,0.8503214051316638,0.060798929517144086,0.04154090684593691
16,Cifar100,FedALA,14,3.478570319334397,0.18350213219616204,0.8555671892868921,0.05974057854990737,0.03239310565234996
17,Cifar100,FedALA,15,3.440066442484746,0.17510660980810236,0.8631402467826829,0.046159727944487014,0.02099845007386963
18,Cifar100,FedALA,16,3.4224952643260353,0.17177505330490406,0.8644545546356336,0.052865722540663754,0.02545971494038618
19,Cifar100,FedALA,17,3.3924875048911565,0.18856609808102345,0.8660624958724956,0.05886100807393689,0.028873272885765848
20,Cifar100,FedALA,18,3.3667953470925633,0.18410181236673773,0.8707958114079404,0.046548149288172205,0.0247672218237202
