1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedAvg,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,mnist,FedAvg,1,2.3544103877100055,0.09763412195934688,0.5074399470659828,0.20654805448471888,0.25256628465576814
4,mnist,FedAvg,2,2.4447796432352416,0.10116627790736421,0.5244950910170744,0.21210612295353112,0.23375840712563495
5,mnist,FedAvg,3,2.5193864226845584,0.13255581472842387,0.5442676126496433,0.22158838769174508,0.25108213127714946
6,mnist,FedAvg,4,2.503239454404996,0.12655781406197933,0.5608376271853904,0.20914075792703876,0.2569075238559704
7,mnist,FedAvg,5,2.9074338877209045,0.16174608463845386,0.5656415650902693,0.24110125435043298,0.2430834285913643
8,mnist,FedAvg,6,2.5704412377509738,0.137620793068977,0.5994276504153994,0.1748687085846785,0.21976912789648206
9,mnist,FedAvg,7,2.522971200507671,0.199133622125958,0.6027021099471124,0.2459448629594495,0.24608311869853097
10,mnist,FedAvg,8,2.5247447711140403,0.20746417860713096,0.6197599052261556,0.20620234292588766,0.24509911254700595
11,mnist,FedAvg,9,2.3499611074901643,0.19580139953348882,0.6506719015906627,0.2099487050235329,0.20577320384071596
12,mnist,FedAvg,10,2.229238054682539,0.1724758413862046,0.6845453533379198,0.24337308586385575,0.16626085385725287
13,mnist,FedAvg,11,2.237450044926491,0.18660446517827392,0.6752240852995514,0.2633258296348282,0.18660407274676402
14,mnist,FedAvg,12,2.219146451648002,0.2084638453848717,0.6862843524690879,0.24099221435494242,0.17169619121256519
15,mnist,FedAvg,13,2.1067147980458856,0.18607130956347884,0.7241002672319018,0.2384841728569778,0.14591584529890955
16,mnist,FedAvg,14,2.3381843085651064,0.1748750416527824,0.6803905019362688,0.2096474477094747,0.1878215854648836
17,mnist,FedAvg,15,2.0607786859111727,0.21352882372542487,0.7263096400659053,0.2625156042456275,0.15079295906483264
18,mnist,FedAvg,16,1.945541599948325,0.29216927690769745,0.7501335775530324,0.20773662803286716,0.13469584543476962
19,mnist,FedAvg,17,2.2422139850803644,0.21152949016994335,0.7205623269622128,0.2610494301828355,0.1505760213461919
20,mnist,FedAvg,18,2.343842936169992,0.24385204931689436,0.703642763092951,0.22380339683557982,0.17871203423259133
21,mnist,FedAvg,19,2.14056907231546,0.27110963012329226,0.7184620475528143,0.2241666688083733,0.17037415673951953
22,mnist,FedAvg,20,1.9923291987551,0.290703098967011,0.7421466092961541,0.21276540650528222,0.1487415485939832
jr=1.0
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,FedAvg,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,mnist,FedAvg,1,2.3121509854338584,0.1068977007664112,0.5307021975924321,0.21267476359646548,0.24520937746507226
4,mnist,FedAvg,2,2.3722510399411765,0.13662112629123627,0.5520956944901604,0.22210695950407647,0.24748629699514388
