1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar10,MOONAAW,0,2.3039326570634455,0.09370209930023325,0.4940292791749328,0.18145544267502495,0.21821810742021094
3,Cifar10,MOONAAW,1,2.4403117190116603,0.10263245584805065,0.5301638657009081,0.2128880376665015,0.24990821244373945
4,Cifar10,MOONAAW,2,2.558604209918377,0.1392202599133622,0.5403538451787526,0.2228162842349369,0.254301790967738
5,Cifar10,MOONAAW,3,2.503363461516743,0.15808063978673775,0.58113628798358,0.24053234483571695,0.2556175719709745
6,Cifar10,MOONAAW,4,2.4162919828844505,0.17307564145284904,0.5855845210124565,0.23935625833847887,0.2874951242750246
7,Cifar10,MOONAAW,5,2.150156815793673,0.23652115961346218,0.6726637430364857,0.22007412732723033,0.20947489048230108
8,Cifar10,MOONAAW,6,2.420453644427922,0.15441519493502165,0.6372123922855361,0.23733301694343223,0.2045980728967401
9,Cifar10,MOONAAW,7,2.2003903119953194,0.20639786737754082,0.6574024312229291,0.22152217675041927,0.18044821079894371
10,Cifar10,MOONAAW,8,2.455452923492291,0.15608130623125624,0.643559923414656,0.2330189104846455,0.21034417243785114
11,Cifar10,MOONAAW,9,2.1105854908492563,0.2416527824058647,0.6862733045184495,0.19649713104933642,0.16948970827166462
12,Cifar10,MOONAAW,10,2.0930916047712076,0.23652115961346218,0.7085421420737444,0.19433038452161594,0.13747025094479484
13,Cifar10,MOONAAW,11,2.605548094665253,0.19526824391869377,0.6561707144942948,0.23535644187611443,0.20100966438727685
14,Cifar10,MOONAAW,12,2.1092059298789043,0.18027324225258248,0.7280633879816188,0.23451329238730373,0.09896818111014237
15,Cifar10,MOONAAW,13,2.350857368047241,0.21306231256247918,0.6642173428246365,0.24028969874666906,0.19972783297813113
16,Cifar10,MOONAAW,14,2.337913868462315,0.1838720426524492,0.6707120165896839,0.22802067042075902,0.1844834712190035
17,Cifar10,MOONAAW,15,2.235077633992571,0.2197934021992669,0.6995119410911068,0.2153351829733499,0.17511927327504243
18,Cifar10,MOONAAW,16,2.106562412719476,0.23092302565811396,0.718128123431628,0.2313283069079451,0.15387772201511124
19,Cifar10,MOONAAW,17,2.527025699419716,0.2036654448517161,0.7035308853908071,0.2196559996788429,0.16369098599605664
20,Cifar10,MOONAAW,18,2.339543796354082,0.18847050983005664,0.7027604029592683,0.2505748386899385,0.18231583375759677
21,Cifar10,MOONAAW,19,2.107882172340435,0.3019660113295568,0.7067572143823836,0.21961371099495797,0.19577069099486546
22,Cifar10,MOONAAW,20,1.877808514760985,0.2842385871376208,0.7697255155044442,0.21691091545968236,0.11737352726240179
23,Cifar10,MOONAAW,21,2.08613313234508,0.21752749083638787,0.7513616593757823,0.25281079682710306,0.12249015397279873
24,Cifar10,MOONAAW,22,1.917930682181675,0.2633122292569144,0.7683936821675665,0.2318072780896633,0.10572540203239476
25,Cifar10,MOONAAW,23,2.2796622845762107,0.2165944685104965,0.7296033069055904,0.2719658621182706,0.1711173687215528
26,Cifar10,MOONAAW,24,1.9104468220792192,0.2895034988337221,0.7669796385397193,0.1995065588234218,0.13577208181772896
27,Cifar10,MOONAAW,25,2.016676819893863,0.28603798733755414,0.7612991426812014,0.2374425366072123,0.1131699879657993
28,Cifar10,MOONAAW,26,2.038496966511708,0.27917360879706765,0.772078706494064,0.23516857890254225,0.10739685173129544
29,Cifar10,MOONAAW,27,2.2341290014712802,0.23985338220593136,0.7379781927774485,0.26365975483168863,0.14578313191526002
30,Cifar10,MOONAAW,28,1.9666260519568677,0.2952349216927691,0.7765726690458784,0.2486972172545942,0.1257156315483024
31,Cifar10,MOONAAW,29,1.9049944559228735,0.3268243918693769,0.779184341912053,0.23390935384058112,0.11678982706003628
32,Cifar10,MOONAAW,30,1.8564891049920835,0.288103965344885,0.7981812356471759,0.22852329999862503,0.08342949305372328
33,Cifar10,MOONAAW,31,1.950977064435213,0.25191602799066976,0.7777183442399999,0.2644800687199029,0.11407774209578794
34,Cifar10,MOONAAW,32,1.8290648064351087,0.3159613462179274,0.8001549048760348,0.20793925076254505,0.08829776742523594
35,Cifar10,MOONAAW,33,2.13138302366337,0.31082972342552484,0.7592939900605412,0.25137364956473196,0.14684524309494051
36,Cifar10,MOONAAW,34,1.9568701087499456,0.28730423192269244,0.781534520231434,0.2543828978064338,0.1248041024954709
37,Cifar10,MOONAAW,35,2.3364568644816455,0.26491169610129955,0.7519481269687556,0.2514744564295217,0.13977077299605462
38,Cifar10,MOONAAW,36,1.8487939053801752,0.31442852382539155,0.7967406686151663,0.23565033954345227,0.09890734561898465
39,Cifar10,MOONAAW,37,2.0905846284316287,0.25684771742752416,0.7607078932774454,0.25681066769254834,0.12594392754223288
40,Cifar10,MOONAAW,38,2.0584248657734614,0.293835388203932,0.7710235182279125,0.2287977249298678,0.12072787076920721
41,Cifar10,MOONAAW,39,2.0779760129147555,0.3112962345884705,0.7616187050341855,0.24327159948009658,0.14108445569576222
42,Cifar10,MOONAAW,40,2.0536425017323108,0.2563812062645785,0.7798916851433454,0.25105180415735917,0.10472778203086408
43,Cifar10,MOONAAW,41,2.035442488525578,0.2949683438853715,0.7803722856888542,0.22407455383866132,0.10783636986141902
44,Cifar10,MOONAAW,42,1.9517038574637615,0.3279573475508164,0.7812912515016838,0.2535666957149172,0.12587937586093792
45,Cifar10,MOONAAW,43,2.1325236546770285,0.3145618127290903,0.7568127988622932,0.272859351431058,0.15403524762293053
46,Cifar10,MOONAAW,44,2.0622724841237465,0.26504498500499835,0.7812791710113267,0.26241931020986714,0.10703222420771577
47,Cifar10,MOONAAW,45,1.7921651686865034,0.36014661779406865,0.8082986489900297,0.2388909165733599,0.10594301670963086
48,Cifar10,MOONAAW,46,1.8159676229759993,0.32862379206931025,0.8082213073460793,0.247461940675231,0.08591953656391121
49,Cifar10,MOONAAW,47,1.7524380990482602,0.35041652782405863,0.8118165082369425,0.19117965934786943,0.07534502930554898
50,Cifar10,MOONAAW,48,2.0086399954840113,0.2951016327890703,0.7849971348716088,0.20950860490281456,0.09535752784327214
51,Cifar10,MOONAAW,49,1.664751264750891,0.36934355214928355,0.8245949389375378,0.2404261617093183,0.0745273600861787
52,Cifar10,MOONAAW,50,1.705539806373293,0.37760746417860713,0.8150934471290447,0.19011385899397407,0.11077409289423196
53,Cifar10,MOONAAW,51,1.8902173681477878,0.3418860379873376,0.7908571072371346,0.2405382913652764,0.13390314175834434
54,Cifar10,MOONAAW,52,1.7952893704766555,0.33948683772075977,0.8097747749957158,0.22660223516125755,0.10373134115137392
55,Cifar10,MOONAAW,53,1.8665306356191582,0.3348217260913029,0.809666428472439,0.24012291653785287,0.0980010571027476
56,Cifar10,MOONAAW,54,1.6226303377745546,0.4076641119626791,0.8242330683161504,0.1881515228558137,0.09294824083729887
57,Cifar10,MOONAAW,55,1.6710482175619346,0.37187604131956015,0.8213806563332267,0.20512573674480666,0.08048346150771792
