1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,MOONAAW,0,2.3126724922475015,0.060829335161069226,0.4336906327316577,0.06708057149762552,0.18417894575936128
3,mnist,MOONAAW,1,2.2351800470179275,0.1983093442997487,0.5827345382012434,0.21975571716250267,0.28245428233520575
1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,mnist,MOONAAW,0,2.3126724922475015,0.060829335161069226,0.4336906327316577,0.06708057149762552,0.18417894575936128
3,mnist,MOONAAW,1,2.2423797705018793,0.2400045693397304,0.6134035536557034,0.28380499319710306,0.27554575085408173
4,mnist,MOONAAW,2,2.290833200252693,0.08950194196938542,0.6779006653833342,0.20093832072191226,0.21031941296094944
5,mnist,MOONAAW,3,1.788880724892134,0.44722412611377654,0.755385684611341,0.29756916385996063,0.20283073580162808
6,mnist,MOONAAW,4,1.2341264179246572,0.6548435001142335,0.9117778011335701,0.2515844607863685,0.10432429288016144
7,mnist,MOONAAW,5,1.0458633986166643,0.6446196024674434,0.9290950267506491,0.24286674696282992,0.05113526461385509
8,mnist,MOONAAW,6,1.0798043921476101,0.6084075851039524,0.9074746919963385,0.30961050276290214,0.0943568859146242
9,mnist,MOONAAW,7,0.8395454313015949,0.7233264793237377,0.9383565602375352,0.2421655102679092,0.06763757806360515
10,mnist,MOONAAW,8,0.6904003584452635,0.7704477952935801,0.9586996021460286,0.16696611945071257,0.02560914748285781
11,mnist,MOONAAW,9,0.6139527775347233,0.8190541466758053,0.9621919753350419,0.11672532312288943,0.027389081293791705
12,mnist,MOONAAW,10,0.6727987162653314,0.7581105780214759,0.9532453541502048,0.21439355222338594,0.048050429684653444
