1,case,method,group,Loss,Accurancy,AUC,Std Test Accurancy,Std Test AUC
2,Cifar100,SCAFFOLD,0,4.615562544410243,0.00826226012793177,0.49925935941762684,0.006105447987905244,0.047671385134914035
3,Cifar100,SCAFFOLD,1,4.502914970401682,0.04537579957356077,0.6167343464684134,0.03539088162582061,0.09784650083121763
4,Cifar100,SCAFFOLD,2,4.404376994076837,0.059168443496801705,0.6565192896493818,0.04292167879068933,0.1151785059415986
5,Cifar100,SCAFFOLD,3,4.33372621855645,0.07789179104477612,0.6802586739958278,0.05562757215451083,0.11828010226798828
6,Cifar100,SCAFFOLD,4,4.283536849433768,0.08622068230277186,0.6967117176240747,0.05993868630048139,0.11727252610719135
7,Cifar100,SCAFFOLD,5,4.245973602761749,0.09235074626865672,0.7080456048320815,0.06266648279397763,0.1157171183180456
8,Cifar100,SCAFFOLD,6,4.215702799350167,0.0968816631130064,0.7176590765833796,0.06427122313301648,0.11297848776249776
9,Cifar100,SCAFFOLD,7,4.186070467490061,0.10167910447761194,0.7254685442346352,0.06679111477156298,0.11062623547733591
10,Cifar100,SCAFFOLD,8,4.16366941529944,0.10501066098081023,0.7320531278490297,0.06720875091300124,0.10809706670210019
11,Cifar100,SCAFFOLD,9,4.138452793891862,0.11034115138592751,0.7377527093598273,0.07041831539990973,0.10620150790360484
12,Cifar100,SCAFFOLD,10,4.120746346210122,0.11214019189765459,0.7425052787096138,0.07052849051890321,0.10444545627331345
13,Cifar100,SCAFFOLD,11,4.097628948824662,0.11440565031982942,0.7471308141119312,0.07161852291344536,0.10289316109156948
14,Cifar100,SCAFFOLD,12,4.082441792011346,0.11613805970149253,0.7509577743942745,0.07197100848357882,0.10138295928223519
15,Cifar100,SCAFFOLD,13,4.061151210300186,0.11827025586353944,0.7546423934571138,0.07201390239572374,0.10002241060047953
16,Cifar100,SCAFFOLD,14,4.046204710140323,0.12093550106609809,0.7579772095977216,0.07275503277414513,0.09881253703501203
17,Cifar100,SCAFFOLD,15,4.026648205479488,0.12260127931769722,0.7611253500104677,0.07282122627711497,0.09756503185321502
18,Cifar100,SCAFFOLD,16,4.015022976959203,0.12393390191897655,0.7637576313927729,0.07296581167183175,0.09662196524650529
19,Cifar100,SCAFFOLD,17,3.997724470305837,0.1267324093816631,0.7664357278420383,0.07411930432439483,0.09561422015911486
20,Cifar100,SCAFFOLD,18,3.988101794438268,0.12706556503198294,0.7686714267907155,0.07304063328756986,0.09482730640312445
21,Cifar100,SCAFFOLD,19,3.971394550273309,0.1283315565031983,0.7711567206980083,0.07305429917234584,0.0936267334545186
22,Cifar100,SCAFFOLD,20,3.964333454706007,0.12946428571428573,0.7728380724949698,0.07267887529618156,0.09301226239691669
23,Cifar100,SCAFFOLD,21,3.948312259201816,0.1300639658848614,0.7749822338964765,0.07287136738232006,0.09196953765722372
24,Cifar100,SCAFFOLD,22,3.9423900327528103,0.1322627931769723,0.7763940705780431,0.07424653543107322,0.0913619029042609
