1,global_rounds,id_list
2,0,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
3,1,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
4,2,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
5,3,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
6,4,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
7,5,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
8,6,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
9,7,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
10,8,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
11,9,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
12,10,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
13,11,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
14,12,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
15,13,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
16,14,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
17,15,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
18,16,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
19,17,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
20,18,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
21,19,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
22,20,"[1, 3, 5, 6, 8, 10, 12, 13, 16, 17]"
